CustomerID,Lookalikes
C0001,"[('C0137', 0.99), ('C0191', 0.99), ('C0011', 0.98)]"
C0002,"[('C0142', 0.98), ('C0043', 0.97), ('C0027', 0.96)]"
C0003,"[('C0190', 0.96), ('C0174', 0.93), ('C0025', 0.91)]"
C0004,"[('C0113', 0.97), ('C0108', 0.93), ('C0012', 0.92)]"
C0005,"[('C0140', 0.98), ('C0123', 0.98), ('C0128', 0.98)]"
C0006,"[('C0048', 0.96), ('C0158', 0.94), ('C0107', 0.94)]"
C0007,"[('C0146', 0.98), ('C0115', 0.97), ('C0078', 0.95)]"
C0008,"[('C0109', 0.91), ('C0068', 0.91), ('C0098', 0.9)]"
C0009,"[('C0061', 0.97), ('C0167', 0.94), ('C0198', 0.92)]"
C0010,"[('C0121', 0.98), ('C0111', 0.97), ('C0060', 0.91)]"
C0011,"[('C0107', 0.99), ('C0001', 0.98), ('C0137', 0.98)]"
C0012,"[('C0153', 0.99), ('C0102', 0.96), ('C0163', 0.95)]"
C0013,"[('C0104', 0.99), ('C0188', 0.98), ('C0099', 0.98)]"
C0014,"[('C0063', 0.98), ('C0062', 0.95), ('C0060', 0.94)]"
C0015,"[('C0058', 0.99), ('C0131', 0.97), ('C0020', 0.95)]"
C0016,"[('C0079', 0.97), ('C0185', 0.95), ('C0050', 0.95)]"
C0017,"[('C0075', 0.97), ('C0124', 0.95), ('C0041', 0.93)]"
C0018,"[('C0046', 0.89), ('C0067', 0.88), ('C0122', 0.87)]"
C0019,"[('C0172', 0.96), ('C0086', 0.95), ('C0081', 0.92)]"
C0020,"[('C0131', 0.95), ('C0015', 0.95), ('C0058', 0.92)]"
